surface	result	count	source	certainty	note
durchlauffen	durchlaufen	4	hegel1+cab	sure	
eh	ehe	4	hegel1+cab	sure	
Incrementen	Inkrementen	4	cab	cab	
anticipirt	antizipiert	4	hegel1+cab	sure	
Verhältnißbestimmungen	Verhältnisbestimmungen	4	cab	cab	
Potenzenfunction	Potenzenfunktion	4	manual	sure	
reflectiren	reflektieren	4	hegel1+cab	sure	
eigenthümlich	eigentümlich	4	hegel1+cab	sure	
einerley	einerlei	4	cab	cab	
thätigen	tätigen	4	hegel1+cab	sure	
Maaßlose	Maßlose	4	cab	cab	ß beibehalten (Langvokal angenommen)
specifischer	spezifischer	4	cab	cab	
Verhältnißexponenten	Verhältnisexponenten	4	cab	cab	
beyderseitigen	beiderseitigen	4	hegel1+cab	sure	
neutralisiren	neutralisieren	4	cab	cab	
Neutralisirung	Neutralisierung	4	cab	cab	
Reflectirtseyns	Reflektiertseins	4	hegel1+cab	sure	
Uebersetzen	Übersetzen	4	hegel1+cab	sure	
Vornemlich	Vornehmlich	4	cab	cab	
objectives	objektives	4	cab	cab	
inwohnende	innewohnende	4	cab	cab	
Caussalität	Kausalität	4	cab	cab	
Eigenthum	Eigentum	4	hegel1+cab	sure	
abzustossen	abzustoßen	4	cab	cab	ß beibehalten (Langvokal angenommen)
sollicitirend	sollizitierend	4	hegel1+cab	sure	
sollicitirende	sollizitierende	4	hegel1+cab	sure	
Entwiklung	Entwicklung	4	hegel1+cab	sure	
unreflectirte	unreflektierte	4	cab	cab	
stossende	stoßende	4	cab	cab	ß beibehalten (Langvokal angenommen)
Gemählde	Gemälde	4	cab	cab	
contradictorisch	kontradiktorisch	4	cab	cab	
Reflexionsurtheil	Reflexionsurteil	4	cab	cab	
Antinomieen	Antinomien	4	cab	cab	
Tavtologien	Tautologien	4	cab	cab	
mitgetheilten	mitgeteilten	4	cab	cab	
Mitgetheilte	Mitgeteilte	4	cab	cab	
Geschiklichkeit	Geschicklichkeit	3	cab	cab	
herbeygeführt	herbeigeführt	3	cab	cab	
Abtheilung	Abteilung	3	cab	cab	
Thiere	Tiere	3	hegel1+cab	sure	
speculativer	spekulativer	3	cab	cab	
beynahe	beinahe	3	mech	mech	
Standpunct	Standpunkt	3	manual	sure	
Modification	Modifikation	3	hegel1+cab	sure	
Standpuncte	Standpunkte	3	cab	cab	
consequenter	konsequenter	3	cab	cab	
häuffig	häufig	3	hegel1	sure	
multiplicirt	multipliziert	3	cab	cab	
Uebersicht	Übersicht	3	hegel1+cab	sure	
unfreye	unfreie	3	cab	cab	
Werthen	Werten	3	cab	cab	
räsonnirenden	räsonierenden	3	hegel1+cab	sure	
vorläuffig	vorläufig	3	hegel1	sure	
todt	tot	3	hegel1+cab	sure	
Abstractum	Abstraktum	3	hegel1	sure	
Philosophirens	Philosophierens	3	cab	cab	
analysirt	analysiert	3	hegel1+cab	sure	
willkührlicher	willkürlicher	3	cab	cab	
erweißt	erweist	3	hegel1+cab	sure	
Freylich	Freilich	3	mech	mech	
heisse	heiße	3	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
zweyerley	zweierlei	3	hegel1+cab	sure	
gesammten	gesamten	3	hegel1+cab	sure	
Accent	Akzent	3	hegel1+cab	sure	
Behuff	Behuf	3	hegel1	sure	
Einerleyheit	Einerleiheit	3	cab	cab	
schliesse	schließe	3	cab	cab	ß beibehalten (Langvokal angenommen)
dirimiren	dirimieren	3	cab	cab	
absorbirt	absorbiert	3	hegel1+cab	sure	
daseyender	daseiender	3	hegel1	sure	
Deßwegen	Deswegen	3	cab	cab	
daseyend	daseiend	3	hegel1+cab	sure	
Insichseyns	Insichseins	3	hegel1	sure	
weist	erweist	3	hegel1	sure	
resultirende	resultierende	3	cab	cab	
negirtes	negiertes	3	cab	cab	
behafftet	behaftet	3	hegel1+cab	sure	
begreifft	begreift	3	hegel1+cab	sure	
Act	Akt	3	cab	cab	
Reflectiren	Reflektieren	3	hegel1+cab	sure	
bewußtlose	bewusstlose	3	hegel1	sure	
Fürsichseyende	Fürsichseiende	3	hegel1+cab	sure	
attrahirend	attrahierend	3	cab	cab	
manifestiren	manifestieren	3	cab	cab	
repellirende	repellierende	3	cab-korrigiert	sure	CAB verworfen
beygelegt	beigelegt	3	hegel1+cab	sure	
perennirendes	perennierendes	3	cab	cab	
stätig	stetig	3	cab	cab	
Getheiltseyn	Geteiltsein	3	cab	cab	
subjectivem	subjektivem	3	cab	cab	
werth	wert	3	hegel1+cab	sure	
insgesammt	insgesamt	3	cab	cab	
ausschliessen	ausschließen	3	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
stätige	stetige	3	cab	cab	
Dabey	Dabei	3	hegel1+cab	sure	
umschliessende	umschließende	3	cab	cab	ß beibehalten (Langvokal angenommen)
zusammenfaßt	zusammenfasst	3	hegel1	sure	
addiren	addieren	3	cab	cab	
existirend	existierend	3	hegel1+cab	sure	
Grossen	Großen	3	cab	cab	ß beibehalten (Langvokal angenommen)
addirt	addiert	3	cab	cab	
worinn	worin	3	manual	sure	
Dreyeinigkeit	Dreieinigkeit	3	mech	mech	
Nothbehelf	Notbehelf	3	cab	cab	
afficirt	affiziert	3	hegel1+cab	sure	
Fürsichbestimmtseyn	Fürsichbestimmtsein	3	mech	mech	
vertheilt	verteilt	3	hegel1+cab	sure	
Producten	Produkten	3	cab	cab	
Untheilbare	Unteilbare	3	cab	cab	
incommensurabel	inkommensurabel	3	cab	cab	
Zeittheilen	Zeitteilen	3	manual	sure	
beyläuffig	beiläufig	3	cab	cab	
eigenthümlicher	eigentümlicher	3	hegel1+cab	sure	
Eigenthümlichen	Eigentümlichen	3	cab	cab	
explicirt	expliziert	3	manual	sure	
Gränze	Grenze	3	hegel1+cab	sure	
Grössenverhältniß	Größenverhältnis	3	manual	sure	
Zeittheil	Zeitteil	3	manual	sure	
Differentiirung	Differenzierung	3	cab	cab	
Rectification	Rektifikation	3	manual	sure	
Uebersetzung	Übersetzung	3	cab	cab	
summirt	summiert	3	cab	cab	
indirecten	indirekten	3	manual	sure	
realisirten	realisierten	3	cab	cab	
Affectionen	Affektionen	3	cab	cab	
Dreyheit	Dreiheit	3	cab	cab	
Conflict	Konflikt	3	hegel1+cab	sure	
Specificationen	Spezifikationen	3	cab	cab	
specificirte	spezifizierte	3	manual	sure	
constante	konstante	3	cab	cab	
qualificirenden	qualifizierenden	3	cab	cab	
specificirten	spezifizierten	3	manual	sure	
Maaßbestimmtheit	Maßbestimmtheit	3	cab	cab	ß beibehalten (Langvokal angenommen)
hiegegen	hiergegen	3	hegel1+cab	sure	
Specifischen	Spezifischen	3	cab	cab	
physicalischen	physikalischen	3	cab	cab	
Continuirung	Kontinuierung	3	cab	cab	
realisirende	realisierende	3	cab	cab	
Continuation	Kontinuation	3	cab	cab	
abstossendes	abstoßendes	3	cab	cab	ß beibehalten (Langvokal angenommen)
reflectirend	reflektierend	3	cab	cab	
Einestheils	Einesteils	3	hegel1+cab	sure	
ausschliessendes	ausschließendes	3	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Thatsachen	Tatsachen	3	cab	cab	
Rükgang	Rückgang	3	cab	cab	
Rüksichten	Rücksichten	3	cab	cab	
zurükgegangene	zurückgegangene	3	cab	cab	
Zurükgehen	zurückgehen	3	cab	cab	
dieß	dies	3	cab	cab	
drükt	drückt	3	cab	cab	
Bedingtseyn	Bedingtsein	3	cab	cab	
thätige	tätige	3	hegel1+cab	sure	
hinweißt	hinweist	3	cab	cab	
darinn	darin	3	manual	sure	
Nothwendiges	Notwendiges	3	cab	cab	
zurükgekehrt	zurückgekehrt	3	cab	cab	
fürsichseyendes	fürsichseiendes	3	hegel1	sure	
Substantialitätsverhältniß	Substantialitätsverhältnis	3	cab	cab	
Mahler	Maler	3	cab	cab	
vindicirt	vindiziert	3	hegel1+cab	sure	
Apperception	Apperzeption	3	hegel1+cab	sure	
Categorien	Kategorien	3	cab	cab	
auffaßt	auffasst	3	hegel1	sure	
Beurtheilung	Beurteilung	3	hegel1+cab	sure	
Criterium	Kriterium	3	cab	cab	
contradictorischen	kontradiktorischen	3	cab	cab	
monstrirt	monstriert	3	cab	cab	
grosser	großer	3	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Thieren	Tieren	3	hegel1+cab	sure	
Particularisation	Partikularisation	3	cab	cab	
Classe	Klasse	3	cab	cab	
Zusammenschliessen	Zusammenschließen	3	cab	cab	ß beibehalten (Langvokal angenommen)
combinatorischen	kombinatorischen	3	cab	cab	
Merkmahlen	Merkmalen	3	cab	cab	
mitgetheilte	mitgeteilte	3	hegel1+cab	sure	
Versenktseyn	Versenktsein	3	hegel1+cab	sure	
Congruenz	Kongruenz	3	cab	cab	
aufgelößt	aufgelöst	3	hegel1+cab	sure	
urtheilen	urteilen	3	cab	cab	
dreyer	dreier	3	cab	cab	
rückwarts	rückwärts	3	cab	cab	
Erkenntnißvermögen	Erkenntnisvermögen	2	cab	cab	
Hirngespinnste	Hirngespinste	2	cab	cab	
Noth	Not	2	hegel1+cab	sure	
Ignoriren	Ignorieren	2	cab	cab	
Systematisirung	Systematisierung	2	cab	cab	
Anfoderung	Anforderung	2	cab	cab	
beygegeben	beigegeben	2	cab	cab	
Speculation	Spekulation	2	hegel1+cab	sure	
draussen	draußen	2	cab	cab	ß beibehalten (Langvokal angenommen)
erfodern	erfordern	2	cab	cab	
