surface	result	count	source	certainty	note
daß	dass	2196	hegel1	sure	
seyn	sein	802	hegel1+cab	sure	
Seyn	Sein	785	hegel1+cab	sure	
diß	dies	725	manual	sure	
Daseyn	Dasein	435	hegel1+cab	sure	
Verhältniß	Verhältnis	425	hegel1+cab	sure	
sey	sei	417	hegel1+cab	sure	
Gesetztseyn	Gesetztsein	333	hegel1+cab	sure	
nemlich	nämlich	317	hegel1+cab	sure	
bey	bei	289	hegel1+cab	sure	
äusserliche	äußerliche	287	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Aeusserlichkeit	Äußerlichkeit	271	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
beyden	beiden	248	hegel1+cab	sure	
Seyns	Seins	248	hegel1+cab	sure	
Subject	Subjekt	232	hegel1+cab	sure	
Urtheil	Urteil	226	hegel1+cab	sure	
Diß	Dies	220	manual	sure	
abstracte	abstrakte	218	hegel1+cab	sure	
muß	muss	215	hegel1	sure	
Objectivität	Objektivität	197	hegel1+cab	sure	
äusserlich	äußerlich	193	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Nothwendigkeit	Notwendigkeit	183	hegel1+cab	sure	
hiemit	hiermit	172	hegel1+cab	sure	
Prädicat	Prädikat	167	hegel1+cab	sure	
ausser	außer	162	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
zwey	zwei	158	hegel1+cab	sure	
Schluß	Schluss	158	hegel1	sure	
Object	Objekt	153	hegel1+cab	sure	
seyende	seiende	152	hegel1+cab	sure	
Ansichseyn	Ansichsein	151	hegel1+cab	sure	
äusserlichen	äußerlichen	140	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Bewußtseyn	Bewusstsein	131	hegel1	sure	
theils	teils	128	hegel1+cab	sure	
reflectirte	reflektierte	128	hegel1+cab	sure	
Daseyns	Daseins	127	hegel1+cab	sure	
That	Tat	124	hegel1+cab	sure	
Princip	Prinzip	123	hegel1+cab	sure	
beyde	beide	121	hegel1+cab	sure	
Andersseyn	Anderssein	120	hegel1+cab	sure	
Abstraction	Abstraktion	117	hegel1+cab	sure	
abstracten	abstrakten	113	hegel1+cab	sure	
Nichtseyn	Nichtsein	112	hegel1+cab	sure	
objective	objektive	111	cab	cab	
Urtheils	Urteils	109	hegel1+cab	sure	
Fürsichseyn	Fürsichsein	107	hegel1+cab	sure	
Function	Funktion	105	cab	cab	
Thätigkeit	Tätigkeit	104	hegel1+cab	sure	
Objecte	Objekte	100	cab	cab	
beyder	beider	99	hegel1+cab	sure	
Theile	Teile	98	hegel1+cab	sure	
Continuität	Kontinuität	95	hegel1+cab	sure	
subjective	subjektive	93	cab	cab	
zweytens	zweitens	88	hegel1+cab	sure	
Uebergang	Übergang	88	hegel1+cab	sure	
Uebergehen	Übergehen	88	hegel1+cab	sure	
Urtheile	Urteile	88	hegel1+cab	sure	
äusserliches	äußerliches	87	hegel1	sure	ß beibehalten (Langvokal angenommen)
Maaß	Maß	85	cab	cab	ß beibehalten (Langvokal angenommen)
läßt	lässt	84	hegel1	sure	
Gegentheil	Gegenteil	83	hegel1+cab	sure	
Grösse	Größe	83	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
zweyte	zweite	76	hegel1+cab	sure	
äussere	äußere	75	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Theil	Teil	75	hegel1+cab	sure	
Mannichfaltigkeit	Mannigfaltigkeit	75	hegel1+cab	sure	
seyen	seien	73	hegel1+cab	sure	
concreten	konkreten	72	hegel1+cab	sure	
subjectiven	subjektiven	72	cab	cab	
Subjects	Subjekts	72	hegel1+cab	sure	
concrete	konkrete	72	hegel1+cab	sure	
objectiven	objektiven	71	cab	cab	
reflectirt	reflektiert	69	hegel1+cab	sure	
äussern	äußern	64	hegel1	sure	ß beibehalten (Langvokal angenommen)
Causalität	Kausalität	64	cab	cab	
Erkenntniß	Erkenntnis	63	hegel1+cab	sure	
dabey	dabei	62	hegel1+cab	sure	
thun	tun	61	hegel1+cab	sure	
Thun	Tun	61	hegel1+cab	sure	
Werth	Wert	61	hegel1+cab	sure	
blosse	bloße	60	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
abstract	abstrakt	59	hegel1+cab	sure	
Subjectivität	Subjektivität	58	hegel1+cab	sure	
nothwendig	notwendig	57	hegel1+cab	sure	
Daß	Dass	56	hegel1	sure	
Objects	Objekts	54	hegel1+cab	sure	
Attraction	Attraktion	54	hegel1+cab	sure	
Freyheit	Freiheit	53	hegel1+cab	sure	
Theilen	Teilen	53	hegel1+cab	sure	
zweyten	zweiten	51	hegel1+cab	sure	
gefaßt	gefasst	51	hegel1	sure	
vornemlich	vornehmlich	49	hegel1+cab	sure	
Bewußtseyns	Bewusstseins	49	hegel1	sure	
Product	Produkt	49	hegel1+cab	sure	
Proceß	Prozess	49	manual	sure	
Subjecte	Subjekte	47	hegel1+cab	sure	
beym	beim	47	hegel1+cab	sure	
Functionen	Funktionen	47	hegel1+cab	sure	
Maaßes	Maßes	47	cab	cab	ß beibehalten (Langvokal angenommen)
deßwegen	deswegen	45	hegel1+cab	sure	
Zweytens	Zweitens	45	cab	cab	
specifische	spezifische	45	hegel1+cab	sure	
Verhältniße	Verhältnisse	42	hegel1+cab	sure	
Prädicate	Prädikate	42	hegel1+cab	sure	
Bestimmtseyn	Bestimmtsein	41	hegel1+cab	sure	
Curve	Kurve	41	cab	cab	
Maaße	Masse	40	cab	cab	
Bey	Bei	39	hegel1+cab	sure	
seyenden	seienden	38	hegel1+cab	sure	
ausserhalb	außerhalb	38	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
negirt	negiert	37	hegel1+cab	sure	
abstrahirt	abstrahiert	37	hegel1+cab	sure	
seyendes	seiendes	37	hegel1+cab	sure	
specifischen	spezifischen	37	hegel1+cab	sure	
eigenthümliche	eigentümliche	36	hegel1+cab	sure	
Beyspiel	Beispiel	36	hegel1+cab	sure	
subjectives	subjektives	36	cab	cab	
drey	drei	35	hegel1+cab	sure	
Concrete	Konkrete	35	hegel1+cab	sure	
freye	freie	34	hegel1+cab	sure	
freylich	freilich	34	hegel1+cab	sure	
Eintheilung	Einteilung	34	hegel1+cab	sure	
hiedurch	hierdurch	34	hegel1+cab	sure	
mannichfaltigen	mannigfaltigen	34	hegel1+cab	sure	
Foderung	Forderung	33	hegel1+cab	sure	
Prädicats	Prädikats	33	hegel1+cab	sure	
müßte	müsste	32	hegel1	sure	
ausschliessende	ausschließende	32	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
äusserlicher	äußerlicher	32	cab	cab	ß beibehalten (Langvokal angenommen)
Gesetztseyns	Gesetztseins	32	cab	cab	
beydes	beides	31	hegel1+cab	sure	
Nahmen	Namen	31	hegel1+cab	sure	
blossen	bloßen	31	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
existirt	existiert	31	hegel1+cab	sure	
Principien	Prinzipien	30	hegel1+cab	sure	
Stuffe	Stufe	30	hegel1+cab	sure	
Bedürfniß	Bedürfnis	29	hegel1+cab	sure	
Copula	Kopula	29	cab	cab	
frey	frei	28	hegel1+cab	sure	
Concreten	Konkreten	28	hegel1+cab	sure	
reflectirten	reflektierten	28	hegel1+cab	sure	
Beyspiele	Beispiele	27	hegel1+cab	sure	
Andersseyns	Andersseins	27	hegel1+cab	sure	
Grössen	Größen	27	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Aeusserung	Äußerung	26	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
aufgefaßt	aufgefasst	26	hegel1	sure	
seyend	seiend	26	hegel1+cab	sure	
Insichseyn	Insichsein	26	hegel1	sure	
Ansichseyns	Ansichseins	26	hegel1+cab	sure	
Rükkehr	Rückkehr	26	hegel1+cab	sure	
betrift	betrifft	25	hegel1+cab	sure	
eigenthümlichen	eigentümlichen	25	hegel1+cab	sure	
Fürsichseyns	Fürsichseins	25	hegel1+cab	sure	
Aeusserliche	Äußerliche	24	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
subsumirt	subsumiert	23	hegel1+cab	sure	
nothwendige	notwendige	23	hegel1+cab	sure	
aussen	außen	23	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
abstractes	abstraktes	23	hegel1+cab	sure	
Discretion	Diskretion	23	hegel1+cab	sure	
Abscisse	Abszisse	23	cab	cab	
Gewißheit	Gewissheit	22	hegel1	sure	
Negiren	Negieren	22	hegel1+cab	sure	
continuirt	kontinuiert	22	cab	cab	
hiebey	hierbei	21	hegel1+cab	sure	
Aufgehobenseyn	Aufgehobensein	21	hegel1+cab	sure	
speculative	spekulative	20	hegel1+cab	sure	
Uebereinstimmung	Übereinstimmung	20	hegel1+cab	sure	
Aussen	Außen	20	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Thaler	Taler	20	cab	cab	
Seyende	Seiende	20	hegel1+cab	sure	
Accidenzen	Akzidenzen	20	hegel1+cab	sure	
Realisirung	Realisierung	19	hegel1+cab	sure	
Dreyecks	Dreiecks	19	hegel1+cab	sure	
Producte	Produkte	19	cab	cab	
Beyde	Beide	19	hegel1+cab	sure	
realisirt	realisiert	19	hegel1+cab	sure	
Dreyeck	Dreieck	19	hegel1+cab	sure	
Abstossen	Abstoßen	19	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
Zweckmässigkeit	Zweckmäßigkeit	19	hegel1	sure	ß beibehalten (Langvokal angenommen)
wobey	wobei	18	hegel1+cab	sure	
subjectiver	subjektiver	18	cab	cab	
Nichtseyns	Nichtseins	18	hegel1+cab	sure	
reducirt	reduziert	18	hegel1+cab	sure	
nöthig	nötig	18	hegel1+cab	sure	
directe	direkte	18	cab	cab	
Accidentalität	Akzidentalität	18	hegel1+cab	sure	
Selbstbewußtseyn	Selbstbewusstsein	17	hegel1	sure	
befreyt	befreit	17	hegel1+cab	sure	
Abstractionen	Abstraktionen	17	hegel1+cab	sure	
Aeussere	Äußere	17	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
reflectirende	reflektierende	17	hegel1+cab	sure	
existirende	existierende	17	hegel1+cab	sure	
Urtheilen	Urteilen	17	hegel1+cab	sure	
Concretes	Konkretes	17	hegel1+cab	sure	
gemeynt	gemeint	17	hegel1+cab	sure	
Finsterniß	Finsternis	17	hegel1+cab	sure	
continuirliche	kontinuierliche	17	cab	cab	
Potenzenverhältniß	Potenzenverhältnis	17	cab	cab	
Verhältnißes	Verhältnisses	17	hegel1	sure	
blosses	bloßes	17	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
sollicitirt	sollizitiert	17	hegel1+cab	sure	
manifestirt	manifestiert	17	cab	cab	
Mittheilung	Mitteilung	17	hegel1+cab	sure	
freyen	freien	16	hegel1+cab	sure	
Consequenz	Konsequenz	16	hegel1+cab	sure	
thut	tut	16	hegel1+cab	sure	
Meynung	Meinung	16	hegel1+cab	sure	
Aeusserliches	Äußerliches	16	hegel1+cab	sure	ß beibehalten (Langvokal angenommen)
hieher	hierher	16	hegel1+cab	sure	
ansichseyende	ansichseiende	16	hegel1+cab	sure	
Processes	Prozesses	16	hegel1+cab	sure	
Factoren	Faktoren	16	hegel1+cab	sure	
Bestimmtseyns	Bestimmtseins	16	cab	cab	
Untheilbaren	Unteilbaren	16	manual	sure	
Existirende	Existierende	16	cab	cab	
mannichfaltige	mannigfaltige	16	hegel1+cab	sure	
nothwendigen	notwendigen	15	hegel1+cab	sure	
